sku,titulo_bruto,status
OC1038,Óculos de Sol Polarizado Malibu Cinza,scraped
APC0199-PREMIUM-BRANCO-P,Camiseta de Pesca Brk Tucunaré Premium Branco P,scraped
APC0199,Camiseta de Pesca Brk Tucunaré Premium,scraped
